date,total_pilgrims,band,band_name
2024-08-03,75140,3,BUSY
2024-08-04,75356,3,BUSY
2024-08-05,63095,2,MODERATE
2024-08-06,66235,2,MODERATE
2024-08-07,75109,3,BUSY
2024-08-08,63535,2,MODERATE
2024-08-09,65131,2,MODERATE
2024-08-10,73313,3,BUSY
2024-08-11,86604,4,HEAVY
2024-08-12,70728,3,BUSY
2024-08-13,73246,3,BUSY
2024-08-14,72967,3,BUSY
2024-08-15,76695,3,BUSY
2024-08-16,62625,2,MODERATE
2024-08-17,77807,3,BUSY
2024-08-18,77807,3,BUSY
2024-08-19,71595,3,BUSY
2024-08-20,73082,3,BUSY
2024-08-22,63202,2,MODERATE
2024-08-23,69098,2,MODERATE
2024-08-24,79521,3,BUSY
2024-08-25,84060,4,HEAVY
2024-08-26,76910,3,BUSY
2024-08-27,71153,3,BUSY
2024-08-28,76772,3,BUSY
2024-08-29,62529,2,MODERATE
2024-08-30,65080,2,MODERATE
2024-08-31,81207,4,HEAVY
2024-09-01,74498,3,BUSY
2024-09-02,63936,2,MODERATE
2024-09-03,57817,1,LIGHT
2024-09-04,57390,1,LIGHT
2024-09-05,61142,2,MODERATE
2024-09-06,58100,1,LIGHT
2024-09-07,83960,4,HEAVY
2024-09-08,81178,4,HEAVY
2024-09-09,67030,2,MODERATE
2024-09-10,62380,2,MODERATE
2024-09-11,67668,2,MODERATE
2024-09-12,63544,2,MODERATE
2024-09-13,60694,2,MODERATE
2024-09-14,80735,4,HEAVY
2024-09-15,85626,4,HEAVY
2024-09-16,76200,3,BUSY
2024-09-17,72072,3,BUSY
2024-09-18,78690,3,BUSY
2024-09-19,68835,2,MODERATE
2024-09-20,73104,3,BUSY
2024-09-21,82406,4,HEAVY
2024-09-22,82646,4,HEAVY
2024-09-23,65604,2,MODERATE
2024-09-24,67616,2,MODERATE
2024-09-25,77939,3,BUSY
2024-09-26,61328,2,MODERATE
2024-09-27,64158,2,MODERATE
2024-09-28,71133,3,BUSY
2024-09-29,84066,4,HEAVY
2024-09-30,66986,2,MODERATE
2024-10-01,69300,2,MODERATE
2024-10-02,80613,4,HEAVY
2024-10-03,63376,2,MODERATE
2024-10-04,54866,1,LIGHT
2024-10-05,75552,3,BUSY
2024-10-06,86859,4,HEAVY
2024-10-07,81481,4,HEAVY
2024-10-08,82043,4,HEAVY
2024-10-09,79753,3,BUSY
2024-10-10,60775,2,MODERATE
2024-10-11,71443,3,BUSY
2024-10-12,73684,3,BUSY
2024-10-13,86900,4,HEAVY
2024-10-14,75361,3,BUSY
2024-10-15,73891,3,BUSY
2024-10-16,75371,3,BUSY
2024-10-17,58637,1,LIGHT
2024-10-18,61576,2,MODERATE
2024-10-19,80741,4,HEAVY
2024-10-20,73926,3,BUSY
2024-10-22,64359,2,MODERATE
2024-10-23,64447,2,MODERATE
2024-10-24,61004,2,MODERATE
2024-10-25,56501,1,LIGHT
2024-10-26,77844,3,BUSY
2024-10-27,69333,2,MODERATE
2024-10-28,63729,2,MODERATE
2024-10-29,59140,1,LIGHT
2024-10-30,59140,1,LIGHT
2024-10-31,63987,2,MODERATE
2024-11-01,67785,2,MODERATE
2024-11-02,88076,4,HEAVY
2024-11-03,84489,4,HEAVY
2024-11-04,74651,3,BUSY
2024-11-05,68146,2,MODERATE
2024-11-07,52643,1,LIGHT
2024-11-08,64983,2,MODERATE
2024-11-09,73558,3,BUSY
2024-11-10,82558,4,HEAVY
2024-11-11,73917,3,BUSY
2024-11-12,61446,2,MODERATE
2024-11-13,66441,2,MODERATE
2024-11-14,56711,1,LIGHT
2024-11-15,61613,2,MODERATE
2024-11-16,73179,3,BUSY
2024-11-17,71441,3,BUSY
2024-11-18,62085,2,MODERATE
2024-11-19,62248,2,MODERATE
2024-11-20,59231,1,LIGHT
2024-11-21,60803,2,MODERATE
2024-11-22,63731,2,MODERATE
2024-11-23,75147,3,BUSY
2024-11-24,75737,3,BUSY
2024-11-25,63637,2,MODERATE
2024-11-26,64525,2,MODERATE
2024-11-27,67626,2,MODERATE
2024-11-28,56952,1,LIGHT
2024-11-29,62147,2,MODERATE
2024-11-30,73169,3,BUSY
2024-12-01,67496,2,MODERATE
2024-12-02,58607,1,LIGHT
2024-12-03,60301,2,MODERATE
2024-12-04,65265,2,MODERATE
2024-12-06,75782,3,BUSY
2024-12-07,78569,3,BUSY
2024-12-08,73107,3,BUSY
2024-12-09,67124,2,MODERATE
2024-12-10,67284,2,MODERATE
2024-12-11,65887,2,MODERATE
2024-12-12,61178,2,MODERATE
2024-12-13,63722,2,MODERATE
2024-12-14,72962,3,BUSY
2024-12-15,66160,2,MODERATE
2024-12-16,62112,2,MODERATE
2024-12-17,63598,2,MODERATE
2024-12-18,70457,3,BUSY
2024-12-19,58165,1,LIGHT
2024-12-20,65299,2,MODERATE
2024-12-21,72411,3,BUSY
2024-12-22,77260,3,BUSY
2024-12-23,65656,2,MODERATE
2024-12-24,67209,2,MODERATE
2024-12-25,73301,3,BUSY
2024-12-26,59584,1,LIGHT
2024-12-27,66715,2,MODERATE
2024-12-28,78414,3,BUSY
2024-12-29,84950,4,HEAVY
2024-12-30,68298,2,MODERATE
2024-12-31,62495,2,MODERATE
2025-01-01,69630,2,MODERATE
2025-01-02,62085,2,MODERATE
2025-01-03,56550,1,LIGHT
2025-01-04,71990,3,BUSY
2025-01-05,66561,2,MODERATE
2025-01-06,54180,1,LIGHT
2025-01-07,62566,2,MODERATE
2025-01-08,62903,2,MODERATE
2025-01-09,40265,0,QUIET
2025-01-10,60094,2,MODERATE
2025-01-11,53013,1,LIGHT
2025-01-12,70966,3,BUSY
2025-01-13,74800,3,BUSY
2025-01-14,74800,3,BUSY
2025-01-15,71417,3,BUSY
2025-01-16,67115,2,MODERATE
2025-01-17,61142,2,MODERATE
2025-01-18,75931,3,BUSY
2025-01-19,70826,3,BUSY
2025-01-20,83806,4,HEAVY
2025-01-21,60581,2,MODERATE
2025-01-22,62223,2,MODERATE
2025-01-23,56225,1,LIGHT
2025-01-24,57655,1,LIGHT
2025-01-25,77651,3,BUSY
2025-01-26,74742,3,BUSY
2025-01-27,65278,2,MODERATE
2025-01-28,70610,3,BUSY
2025-01-29,62710,2,MODERATE
2025-01-30,51349,1,LIGHT
2025-01-31,51818,1,LIGHT
2025-02-01,80871,4,HEAVY
2025-02-02,75706,3,BUSY
2025-02-03,59784,1,LIGHT
2025-02-04,73599,3,BUSY
2025-02-05,58600,1,LIGHT
2025-02-06,58908,1,LIGHT
2025-02-07,62971,2,MODERATE
2025-02-08,76598,3,BUSY
2025-02-09,84536,4,HEAVY
2025-02-10,70169,3,BUSY
2025-02-11,67192,2,MODERATE
2025-02-12,70270,3,BUSY
2025-02-13,60203,2,MODERATE
2025-02-14,64527,2,MODERATE
2025-02-15,78873,3,BUSY
2025-02-16,79705,3,BUSY
2025-02-17,60784,2,MODERATE
2025-02-18,68427,2,MODERATE
2025-02-19,72745,3,BUSY
2025-02-20,59776,1,LIGHT
2025-02-21,65327,2,MODERATE
2025-02-22,78110,3,BUSY
2025-02-23,78892,3,BUSY
2025-02-24,66764,2,MODERATE
2025-02-25,65127,2,MODERATE
2025-02-26,62323,2,MODERATE
2025-02-27,58627,1,LIGHT
2025-02-28,52731,1,LIGHT
2025-03-01,71785,3,BUSY
2025-03-02,69592,2,MODERATE
2025-03-03,65683,2,MODERATE
2025-03-04,64861,2,MODERATE
2025-03-05,63285,2,MODERATE
2025-03-06,58548,1,LIGHT
2025-03-07,67127,2,MODERATE
2025-03-08,74646,3,BUSY
2025-03-09,79478,3,BUSY
2025-03-10,69746,2,MODERATE
2025-03-11,66393,2,MODERATE
2025-03-12,68509,2,MODERATE
2025-03-13,51148,1,LIGHT
2025-03-14,63987,2,MODERATE
2025-03-15,82580,4,HEAVY
2025-03-16,82721,4,HEAVY
2025-03-17,70824,3,BUSY
2025-03-18,65487,2,MODERATE
2025-03-19,72388,3,BUSY
2025-03-20,58872,1,LIGHT
2025-03-21,64170,2,MODERATE
2025-03-22,75428,3,BUSY
2025-03-23,84198,4,HEAVY
2025-03-24,58358,1,LIGHT
2025-03-25,64252,2,MODERATE
2025-03-26,75354,3,BUSY
2025-03-27,64279,2,MODERATE
2025-03-28,65569,2,MODERATE
2025-03-29,76005,3,BUSY
2025-03-30,62263,2,MODERATE
2025-03-31,62263,2,MODERATE
2025-04-01,72981,3,BUSY
2025-04-02,72721,3,BUSY
2025-04-03,58864,1,LIGHT
2025-04-04,66327,2,MODERATE
2025-04-05,78496,3,BUSY
2025-04-06,72960,3,BUSY
2025-04-07,66503,2,MODERATE
2025-04-08,65201,2,MODERATE
2025-04-09,62076,2,MODERATE
2025-04-10,57462,1,LIGHT
2025-04-11,70462,3,BUSY
2025-04-12,72923,3,BUSY
2025-04-13,79100,3,BUSY
2025-04-14,73078,3,BUSY
2025-04-15,73543,3,BUSY
2025-04-16,70372,3,BUSY
2025-04-17,56279,1,LIGHT
2025-04-18,58519,1,LIGHT
2025-04-19,78821,3,BUSY
2025-04-20,82746,4,HEAVY
2025-04-21,72937,3,BUSY
2025-04-22,61828,2,MODERATE
2025-04-23,68705,2,MODERATE
2025-04-24,58227,1,LIGHT
2025-04-25,64536,2,MODERATE
2025-04-26,82811,4,HEAVY
2025-04-27,78177,3,BUSY
2025-04-28,65904,2,MODERATE
2025-04-29,64263,2,MODERATE
2025-04-30,66616,2,MODERATE
2025-05-01,57863,1,LIGHT
2025-05-02,74344,3,BUSY
2025-05-03,84113,4,HEAVY
2025-05-04,83380,4,HEAVY
2025-05-06,69214,2,MODERATE
2025-05-07,71001,3,BUSY
2025-05-08,64850,2,MODERATE
2025-05-09,68213,2,MODERATE
2025-05-10,85078,4,HEAVY
2025-05-11,80423,4,HEAVY
2025-05-12,68760,2,MODERATE
2025-05-13,74477,3,BUSY
2025-05-14,74020,3,BUSY
2025-05-15,63208,2,MODERATE
2025-05-16,70970,3,BUSY
2025-05-17,87347,4,HEAVY
2025-05-18,84571,4,HEAVY
2025-05-19,79003,3,BUSY
2025-05-20,76000,3,BUSY
2025-05-21,80964,4,HEAVY
2025-05-22,72579,3,BUSY
2025-05-23,74374,3,BUSY
2025-05-24,90211,5,EXTREME
2025-05-25,91538,5,EXTREME
2025-05-26,83542,4,HEAVY
2025-05-27,82597,4,HEAVY
2025-05-28,83621,4,HEAVY
2025-05-29,69019,2,MODERATE
2025-05-30,71721,3,BUSY
2025-05-31,95080,5,EXTREME
2025-06-01,78031,3,BUSY
2025-06-02,84418,4,HEAVY
2025-06-03,78631,3,BUSY
2025-06-04,78288,3,BUSY
2025-06-05,67284,2,MODERATE
2025-06-06,67284,2,MODERATE
2025-06-07,88257,4,HEAVY
2025-06-08,90802,5,EXTREME
2025-06-09,84258,4,HEAVY
2025-06-10,80894,4,HEAVY
2025-06-11,79296,3,BUSY
2025-06-12,69609,2,MODERATE
2025-06-13,75096,3,BUSY
2025-06-14,91720,5,EXTREME
2025-06-15,90815,5,EXTREME
2025-06-16,84681,4,HEAVY
2025-06-17,81037,4,HEAVY
2025-06-18,80440,4,HEAVY
2025-06-19,70226,3,BUSY
2025-06-20,76181,3,BUSY
2025-06-21,90087,5,EXTREME
2025-06-22,87254,4,HEAVY
2025-06-23,84179,4,HEAVY
2025-06-24,79466,3,BUSY
2025-06-25,75001,3,BUSY
2025-06-26,64879,2,MODERATE
2025-06-27,68229,2,MODERATE
2025-06-28,90051,5,EXTREME
2025-06-29,88497,4,HEAVY
2025-06-30,78730,3,BUSY
2025-07-01,76126,3,BUSY
2025-07-02,74510,3,BUSY
2025-07-03,64015,2,MODERATE
2025-07-04,70011,3,BUSY
2025-07-05,87536,4,HEAVY
2025-07-06,88938,4,HEAVY
2025-07-07,80081,4,HEAVY
2025-07-08,78320,3,BUSY
2025-07-09,76501,3,BUSY
2025-07-10,63473,2,MODERATE
2025-07-11,70217,3,BUSY
2025-07-12,92221,5,EXTREME
2025-07-13,80193,4,HEAVY
2025-07-14,74149,3,BUSY
2025-07-15,73020,3,BUSY
2025-07-16,75104,3,BUSY
2025-07-17,63897,2,MODERATE
2025-07-18,73093,3,BUSY
2025-07-19,90011,5,EXTREME
2025-07-20,90011,5,EXTREME
2025-07-21,77481,3,BUSY
2025-07-22,79467,3,BUSY
2025-07-23,80130,4,HEAVY
2025-07-24,68838,2,MODERATE
2025-07-25,73576,3,BUSY
2025-07-26,85740,4,HEAVY
2025-07-28,77044,3,BUSY
2025-07-29,75183,3,BUSY
2025-07-30,75303,3,BUSY
2025-07-31,66149,2,MODERATE
2025-08-01,70353,3,BUSY
2025-08-02,82367,4,HEAVY
2025-08-03,82628,4,HEAVY
2025-08-04,69928,2,MODERATE
2025-08-05,72951,3,BUSY
2025-08-06,71144,3,BUSY
2025-08-07,65234,2,MODERATE
2025-08-08,70480,3,BUSY
2025-08-09,84404,4,HEAVY
2025-08-10,82628,4,HEAVY
2025-08-11,75740,3,BUSY
2025-08-12,77596,3,BUSY
2025-08-13,75859,3,BUSY
2025-08-14,66530,2,MODERATE
2025-08-15,77043,3,BUSY
2025-08-16,87759,4,HEAVY
2025-08-17,86364,4,HEAVY
2025-08-18,80502,4,HEAVY
2025-08-19,76033,3,BUSY
2025-08-20,75688,3,BUSY
2025-08-21,65112,2,MODERATE
2025-08-22,72067,3,BUSY
2025-08-23,83858,4,HEAVY
2025-08-24,72119,3,BUSY
2025-08-25,67767,2,MODERATE
2025-08-26,77837,3,BUSY
2025-08-27,77185,3,BUSY
2025-08-28,63843,2,MODERATE
2025-08-29,65717,2,MODERATE
2025-08-30,77295,3,BUSY
2025-08-31,70310,3,BUSY
2025-09-01,65384,2,MODERATE
2025-09-02,64925,2,MODERATE
2025-09-03,70472,3,BUSY
2025-09-04,59834,1,LIGHT
2025-09-05,69531,2,MODERATE
2025-09-06,82118,4,HEAVY
2025-09-07,69850,2,MODERATE
2025-09-08,77117,3,BUSY
2025-09-09,70828,3,BUSY
2025-09-10,70086,3,BUSY
2025-09-11,66312,2,MODERATE
2025-09-12,69842,2,MODERATE
2025-09-13,82149,4,HEAVY
2025-09-14,77893,3,BUSY
2025-09-15,65066,2,MODERATE
2025-09-16,63607,2,MODERATE
2025-09-17,68213,2,MODERATE
2025-09-18,68095,2,MODERATE
2025-09-19,71249,3,BUSY
2025-09-20,82042,4,HEAVY
2025-09-21,67408,2,MODERATE
2025-09-22,60681,2,MODERATE
2025-09-23,63837,2,MODERATE
2025-09-24,58628,1,LIGHT
2025-09-25,67388,2,MODERATE
2025-09-26,75358,3,BUSY
2025-09-27,75006,3,BUSY
2025-09-28,79496,3,BUSY
2025-09-29,81626,4,HEAVY
2025-09-30,73275,3,BUSY
2025-10-01,72247,3,BUSY
2025-10-02,75188,3,BUSY
2025-10-03,73581,3,BUSY
2025-10-04,83380,4,HEAVY
2025-10-05,83412,4,HEAVY
2025-10-06,76773,3,BUSY
2025-10-07,71634,3,BUSY
2025-10-08,74861,3,BUSY
2025-10-09,66883,2,MODERATE
2025-10-10,74468,3,BUSY
2025-10-11,84571,4,HEAVY
2025-10-12,84424,4,HEAVY
2025-10-13,78569,3,BUSY
2025-10-14,72473,3,BUSY
2025-10-15,75919,3,BUSY
2025-10-16,61521,2,MODERATE
2025-10-17,66675,2,MODERATE
2025-10-18,82136,4,HEAVY
2025-10-19,84017,4,HEAVY
2025-10-20,72026,3,BUSY
2025-10-21,76343,3,BUSY
2025-10-22,73853,3,BUSY
2025-10-23,60896,2,MODERATE
2025-10-24,71110,3,BUSY
2025-10-25,82010,4,HEAVY
2025-10-27,70842,3,BUSY
2025-10-28,64065,2,MODERATE
2025-10-29,64048,2,MODERATE
2025-10-30,56078,1,LIGHT
2025-10-31,63539,2,MODERATE
2025-11-01,72860,3,BUSY
2025-11-02,84442,4,HEAVY
2025-11-03,66322,2,MODERATE
2025-11-04,67091,2,MODERATE
2025-11-05,63239,2,MODERATE
2025-11-06,61718,2,MODERATE
2025-11-07,68075,2,MODERATE
2025-11-08,80560,4,HEAVY
2025-11-09,78217,3,BUSY
2025-11-10,76096,3,BUSY
2025-11-11,67367,2,MODERATE
2025-11-12,72283,3,BUSY
2025-11-13,62129,2,MODERATE
2025-11-14,66709,2,MODERATE
2025-11-15,73852,3,BUSY
2025-11-16,75004,3,BUSY
2025-11-17,71208,3,BUSY
2025-11-18,66966,2,MODERATE
2025-11-19,67121,2,MODERATE
2025-11-20,66839,2,MODERATE
2025-11-21,60098,2,MODERATE
2025-11-22,75082,3,BUSY
2025-11-23,78974,3,BUSY
2025-11-24,68615,2,MODERATE
2025-11-25,73677,3,BUSY
2025-11-26,73670,3,BUSY
2025-11-27,59548,1,LIGHT
2025-11-28,70044,3,BUSY
2025-11-29,79791,3,BUSY
2025-11-30,68187,2,MODERATE
2025-12-01,70345,3,BUSY
2025-12-02,64684,2,MODERATE
2025-12-03,63887,2,MODERATE
2025-12-04,51082,1,LIGHT
2025-12-06,82007,4,HEAVY
2025-12-07,75343,3,BUSY
2025-12-08,71142,3,BUSY
2025-12-09,70901,3,BUSY
2025-12-10,68165,2,MODERATE
2025-12-11,64367,2,MODERATE
2025-12-12,67202,2,MODERATE
2025-12-13,80113,4,HEAVY
2025-12-14,81348,4,HEAVY
2025-12-15,70251,3,BUSY
2025-12-16,63738,2,MODERATE
2025-12-17,66389,2,MODERATE
2025-12-18,61582,2,MODERATE
2025-12-19,64729,2,MODERATE
2025-12-20,78466,3,BUSY
2025-12-21,76903,3,BUSY
2025-12-22,60764,2,MODERATE
2025-12-23,61583,2,MODERATE
2025-12-24,73524,3,BUSY
2025-12-25,72355,3,BUSY
2025-12-26,72487,3,BUSY
2025-12-27,91147,5,EXTREME
2025-12-28,85823,4,HEAVY
2025-12-29,59631,1,LIGHT
2025-12-30,67053,2,MODERATE
2025-12-31,70256,3,BUSY
2026-01-01,65225,2,MODERATE
2026-01-02,83032,4,HEAVY
2026-01-03,88662,4,HEAVY
2026-01-04,85179,4,HEAVY
2026-01-05,82650,4,HEAVY
2026-01-06,82022,4,HEAVY
2026-01-07,85752,4,HEAVY
2026-01-08,73580,3,BUSY
2026-01-09,67678,2,MODERATE
2026-01-10,76820,3,BUSY
2026-01-11,76447,3,BUSY
2026-01-12,68542,2,MODERATE
2026-01-13,73014,3,BUSY
2026-01-14,76289,3,BUSY
2026-01-15,64064,2,MODERATE
2026-01-16,78733,3,BUSY
2026-01-17,83576,4,HEAVY
2026-01-18,84058,4,HEAVY
2026-01-19,79098,3,BUSY
2026-01-20,73788,3,BUSY
2026-01-21,74056,3,BUSY
2026-01-22,64571,2,MODERATE
2026-01-23,69726,2,MODERATE
2026-01-24,76654,3,BUSY
2026-01-25,84014,4,HEAVY
2026-01-26,75791,3,BUSY
2026-01-27,77049,3,BUSY
2026-01-28,72637,3,BUSY
2026-01-29,61315,2,MODERATE
2026-01-30,69254,2,MODERATE
2026-01-31,76935,3,BUSY
2026-02-01,74192,3,BUSY
2026-02-02,69262,2,MODERATE
2026-02-03,69389,2,MODERATE
2026-02-04,68586,2,MODERATE
2026-02-05,61655,2,MODERATE
2026-02-06,67085,2,MODERATE
2026-02-07,81777,4,HEAVY
2026-02-08,81894,4,HEAVY
2026-02-09,74130,3,BUSY
2026-02-11,73652,3,BUSY
2026-02-12,61632,2,MODERATE
2026-02-13,64222,2,MODERATE
